ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-4820,Base,4820,7892,50.9167,No,80,0,No,0,0.1,0.002159,0.1,0.01216,0.1,0.002159,0.1,0.02127,0.1,0.02379,0.1,0.02127
Base-4781,Base,4781,7841,143.8333,No,120.6667,0,No,0,0.1,-0.03452,0.1,-0.02723,0.1,-0.03452,0.1,-0.00457,0.1,-0.0005561,0.1,-0.00457
Base-4783,Base,4783,7843,143.8333,No,122.1667,0,No,0,0.1,0.04736,0.1,0.1,0.1,0.04736,0.1,0.04847,0.1,0.0486,0.1,0.04847
Base-4785,Base,4785,7845,143.8333,No,127.1667,0,No,0,0.1,0.042,0.1,0.1,0.1,0.042,0.1,0.04538,0.1,0.04583,0.1,0.04538
Base-4787,Base,4787,7847,143.8333,No,128.6667,0,No,0,0.1,0.008195,0.1,0.01626,0.1,0.008195,0.1,0.02139,0.1,0.02305,0.1,0.02139
Base-4917,Base,4917,8067,156.25,No,113.0833,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-4919,Base,4919,8069,156.25,No,121.5,0,No,0,0.1,0.04444,0.1,0.1,0.1,0.04444,0.1,0.1,0.1,0.1,0.1,0.1
Base-4986,Base,4986,8204,341,No,155.5,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-4988,Base,4988,8206,341,No,185.25,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-4990,Base,4990,8208,341,No,206.9167,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Base-5007,Base,5007,8226,145.9167,No,14,0,No,0,0.3,0.1,0.4,0.1,0.4,0.1,0.3,0.1,0.2,0.1,0.3,0.1
Base-5009,Base,5009,8228,22.5,No,23.0833,0,No,0,20.1,17.4,24.7,22,24.7,17.4,19.6,18,19.5,18.1,19.6,18
Base-4912,Base,4912,8053,76.9167,No,91.5,0,No,0,0.1,0.04844,0.1,0.1,0.1,0.04844,0.1,0.1,0.1,0.1,0.1,0.1
Base-5014,Base,5014,8084,116.6667,No,91.5,0,No,0,0.1,0.01674,0.1,0.02758,0.1,0.01674,0.1,0.03102,0.1,0.03263,0.1,0.03102
Base-5120,Base,5120,8426,25.0417,No,195.0833,0,No,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
