ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-2283,1149,No,Base,2283,No,0,133.6667,0,e7da34a9-4fad-4259-91a2-f1b38cde11b0,18.117,10.404,24.643,16.93,24.643,0
Base-2287,1150,No,Base,2287,No,0,120.9167,0,6c57dcb4-f9c1-4563-a490-3899a01e84e7,9.036,8.05,12.516,11.529,12.516,0
Base-2291,1151,No,Base,2291,No,0,107.4167,0,cadf3b1e-b88b-49de-adde-f84b3fc6f45c,6.732,4.79,8.765,6.824,8.765,0
Base-2295,1152,No,Base,2295,No,0,100.3333,0,e0c51917-6e6e-4310-a2f9-d88f4aaead49,8.298,5.092,10.463,7.257,10.463,0
Base-2299,1153,No,Base,2299,No,0,87.5,0,d39ee08f-ca80-4dfa-aec7-d9e07bbc2c49,20.429,13.329,25.504,18.404,25.504,0
Base-2303,1154,No,Base,2303,No,0,81.5,0,464a600d-e15f-4259-8813-e738aa9d261e,19.294,12.133,23.976,16.815,23.976,0
Base-2307,1155,No,Base,2307,No,0,127.2917,0,2a1fd0d9-c07d-465c-b106-f9efb84e4a3c,10.876,9.422,15.441,13.987,15.441,0
Base-2311,1156,No,Base,2311,No,0,114.1667,0,208ebfb0-1f26-4420-8378-ebbbf2c6fe42,13.421,10.853,18.133,15.565,18.133,0
Base-2315,1157,No,Base,2315,No,0,93.9167,0,3578d6dd-3612-4221-a63e-b70d13841db8,15.619,9.514,19.474,13.368,19.474,0
Base-2319,1158,No,Base,2319,No,0,76.8333,0,070e9af2-58a7-435a-8e8a-d5e0e8735f77,24.903,13.658,30.637,19.392,30.637,0
Base-2323,1159,No,Base,2323,No,0,69.5,0,49a07f84-c894-4e07-b8de-ce55038d2637,31.57,-0.754,36.15,3.826,36.15,-0.754
Base-2337,1162,No,Base,2337,No,0,56.5,0,421c1196-ccd4-4da0-9995-7e32490cba79,32.989,20.931,41.046,28.988,41.046,0
Base-2345,2690,No,Base,2345,No,0,31.5,0,b8c1b804-80e1-4d90-ac32-f422e69814e2,0,0,0,0,0,0
Base-2349,1164,No,Base,2349,No,0,23.0833,0,49551f68-9b3a-45cb-b51e-51bf2e790b98,106.512,-28.456,117.725,-17.243,117.725,-28.456
Base-2355,2695,No,Base,2355,No,0,40.75,0,cfd8ae9b-6fbf-4a6f-bd97-7fe6c9523118,34.956,11.187,41.771,18.002,41.771,0
Base-2359,2707,No,Base,2359,No,20,23.0833,0,218fac55-f39a-4d51-a510-5433b388de33,0,0,0,0,0,0
Base-2366,2701,No,Base,2366,No,6.6667,23.0833,0,4af2d586-6b73-45e2-a36a-00119bd597a7,0,0,0,0,0,0
Base-2367,2702,No,Base,2367,No,13.3333,23.0833,0,7ec3631e-854b-4fa5-b83f-57f3bf8b1163,0,0,0,0,0,0
Base-2371,1169,No,Base,2371,No,16.6667,23.0833,0,714adaca-ccf2-4b3b-9a58-1d89aaa296e9,0,0,0,0,0,0
Base-2380,1171,No,Base,2380,No,42.8333,23.0833,0,19c54940-3b21-41b1-8d7c-fce4fa19a7f7,44.163,-21.567,47.007,-18.724,47.007,-21.567
Base-2381,2727,No,Base,2381,No,25,23.0833,0,987c35db-6b8e-4aa0-8cb5-107c14893de5,0,0,0,0,0,0
Base-2388,2728,No,Base,2388,No,30.9444,23.0833,0,b8b1d4cc-a318-4b32-b2cb-46dec9c779dc,34.357,-7.293,37.941,-3.709,37.941,-7.293
Base-2389,2975,No,Base,2389,No,36.8889,23.0833,0,8c0ae406-704a-4c0b-aadd-1c8512278fc9,23.028,-5.507,25.231,-3.305,25.231,-5.507
Base-2393,2723,No,Base,2393,No,27.9722,23.0833,0,28dfcf6c-03e4-4d0c-9c76-4e72edf28b6d,0,0,0,0,0,0
Base-2425,1180,No,Base,2425,No,42.8333,81.5,0,f5605691-f32b-48c0-bd6f-969f512230a6,24.415,9.566,29.182,14.333,29.182,0
Base-2426,1181,No,Base,2426,No,42.8333,76.8333,0,3c9bf84d-31a3-4a84-bdce-417e43639515,25.317,3.629,29.381,7.692,29.381,0
Base-2439,1182,No,Base,2439,No,42.8333,28.8333,0,d438d013-14c7-478e-a177-ad92e96f06aa,26.551,-5.575,29.291,-2.836,29.291,-5.575
Base-2440,1183,No,Base,2440,No,42.8333,34.5833,0,96813f2d-f7a9-4fd9-a4b0-de0bc9a6328d,20.129,9.608,24.162,13.641,24.162,0
Base-2446,1186,No,Base,2446,No,42.8333,87.5,0,b93e7164-9e3b-485a-932a-ba1a91908804,19.568,16.247,24.673,21.352,24.673,0
Base-2450,1187,No,Base,2450,No,42.8333,91.5,0,f8f3838f-6fec-40d2-ae52-34766669d068,26.512,0.553,30.312,4.353,30.312,0
Base-2454,1188,No,Base,2454,No,42.8333,100.3333,0,c89e302a-5695-4fa5-9e8a-a8a907103686,33.063,-17.006,35.277,-14.792,35.277,-17.006
Base-2458,1189,No,Base,2458,No,42.8333,95.9167,0,313caed5-057e-41c3-b08c-fa648b1fedc4,43.192,-12.82,47.47,-8.542,47.47,-12.82
Base-2472,1190,No,Base,2472,No,143.8333,125.6667,0,70ffa90a-c6cf-443b-bd47-6e401e70f3fd,265.46,-225.491,271.28,-219.671,271.28,-225.491
Base-2473,1191,No,Base,2473,No,143.8333,123.6667,0,c55248b0-649e-4578-8483-183c5a2afdd4,165.213,-145.145,168.274,-142.083,168.274,-145.145
Base-2496,1192,No,Base,2496,No,143.8333,133.6667,0,d5ddf8fe-b396-4664-8f5d-b5cc1306d161,334.122,-237.749,348.491,-223.379,348.491,-237.749
Base-2497,1193,No,Base,2497,No,143.8333,130.1667,0,a7483469-e417-4b1d-bd4b-8eaa14df2dc0,88.745,-71.862,91.239,-69.368,91.239,-71.862
Base-2506,1194,No,Base,2506,No,153.1667,89.1667,0,f12c8199-f132-478b-b3ee-2656435e9a97,195.523,-131.863,205.872,-121.514,205.872,-131.863
Base-2507,1195,No,Base,2507,No,143.8333,89.1667,0,fee7b3b7-920e-4422-a2ed-88de7568adcb,128.869,-70.83,138.173,-61.527,138.173,-70.83
Base-2509,1196,No,Base,2509,No,148.5,89.1667,0,35aab01c-63ed-4e13-9310-56f4e665cace,234.942,-147.337,248.46,-133.82,248.46,-147.337
Base-2513,1197,No,Base,2513,No,153.1667,91.5,0,1c74abf8-ba01-4e78-9c0f-61c15b843e61,124.13,-82.878,130.052,-76.956,130.052,-82.878
Base-2515,1198,No,Base,2515,No,153.1667,95.5,0,caa04fe9-1571-4dd7-9ec6-eb29026288e9,105.554,-50.936,114.048,-42.442,114.048,-50.936
Base-2529,1200,No,Base,2529,No,153.1667,100.3333,0,a4e3a500-07d2-4f03-94b5-5ced73abe984,92.577,-18.58,103.92,-7.237,103.92,-18.58
Base-2541,1202,No,Base,2541,No,153.1667,103.8333,0,11517b5a-f921-4487-8cb1-534d98509f66,45.423,24.726,55.981,35.284,55.981,0
Base-2553,1204,No,Base,2553,No,153.1667,108,0,fa2712ca-d92e-406e-a92a-6486a2fd1f85,68.972,25.451,83.058,39.536,83.058,0
Base-2565,1279,No,Base,2565,No,106.9167,36.125,0,bf5bdd99-01be-4e4c-a851-5eea2750c597,0,0,0,0,0,0
Base-2566,1280,No,Base,2566,No,106.9167,40.75,0,da67187a-d2d7-4cc7-bb2f-3f0c724767a6,0,0,0,0,0,0
