Point,GlobalX,GlobalY
873,120.75,83.8333
874,120.75,87.5
875,111.25,14
877,120.75,40.5
878,120.75,47.5
879,143.8333,100.3333
880,127,91.5
881,133.25,91.5
882,143.8333,103.8333
883,53.9167,91.5
884,59.9167,91.5
885,64.4167,91.5
886,70.4167,91.5
887,74.9167,91.5
888,78.9167,91.5
889,85.4167,91.5
890,91.4167,91.5
891,95.9167,91.5
892,101.9167,91.5
893,106.4167,91.5
894,112.4167,91.5
895,114.9167,91.5
896,118.4167,91.5
897,143.8333,106.3333
898,246.4167,115.3333
899,246.4167,121.4444
900,246.4167,127.5556
901,246.4167,133.6667
903,143.8333,108
904,255.0833,115.3333
905,255.0833,133.6667
906,259.1667,133.6667
907,263.25,133.6667
908,267.3333,133.6667
909,271.4167,133.6667
910,255.0833,119
911,291.75,133.6667
912,298.6875,133.6667
913,305.625,133.6667
914,312.5625,133.6667
915,319.5,133.6667
916,326.6667,133.6667
917,333.8333,133.6667
918,341,133.6667
919,341,137.1667
920,341,141.1667
921,143.8333,110.3333
922,341,149.3333
923,341,152.9167
924,341,145.25
925,255.0833,110.3333
926,255.0833,91.5
927,255.0833,97.7778
928,255.0833,104.0556
929,207.5,91.5
930,213.7083,91.5
931,219.9167,91.5
932,226.125,91.5
933,232.3333,91.5
934,239.9167,91.5
935,247.5,91.5
936,196.75,91.5
937,202.125,91.5
938,143.8333,114.1667
939,50.9167,219.1667
940,60.4167,219.1667
941,67.4167,219.1667
942,73.4167,219.1667
943,80.9167,219.1667
944,86.4167,219.1667
945,93.4167,219.1667
946,100.0833,219.1667
947,108.25,219.1667
948,114.9167,219.1667
949,120.75,219.1667
950,128.75,219.1667
951,138.4167,219.1667
952,145.4167,219.1667
953,151.4167,219.1667
954,157.4167,219.1667
955,164.4167,219.1667
956,170.9167,219.1667
957,175.5833,219.1667
958,180.3333,219.1667
959,184.5,219.1667
960,190.5,219.1667
961,143.8333,119.1667
962,193.5,219.1667
963,197.5,219.1667
964,203.5,219.1667
965,207.5,219.1667
966,213.1667,210.1667
967,220.75,210.1667
968,229.5,210.1667
969,238.7083,210.1667
970,246.4167,210.1667
971,252.0833,210.1667
972,143.8333,123.6667
973,260.3056,210.1667
974,268.5278,210.1667
975,276.75,210.1667
976,290.9167,210.1667
977,298.0625,210.1667
978,305.2083,210.1667
979,312.3542,210.1667
980,319.5,210.1667
981,326.6667,210.1667
982,333.8333,210.1667
983,283.8333,210.1667
984,207.5,210.1667
985,143.8333,125.6667
986,207.5,214.6667
987,207.5,217.6667
988,11.2083,195.0833
989,16.8125,195.0833
990,143.8333,130.1667
991,50.9167,210.1667
992,50.9167,214.6667
993,50.9167,188.3333
994,50.9167,195.6111
995,50.9167,202.8889
996,50.9167,180.3333
997,143.8333,133.6667
1001,148.5,89.1667
1002,153.1667,89.1667
1003,153.1667,91.5
1004,153.1667,95.5
1007,153.1667,100.3333
1008,153.1667,103.8333
1009,50.9167,155.6667
1010,50.9167,158.8333
1011,50.9167,162
1012,50.9167,151.1667
1013,50.9167,146.9167
1014,50.9167,141.9167
1015,153.1667,108
1016,50.9167,128.9167
1017,50.9167,133.6667
1021,50.9167,118.9167
1022,50.9167,120.9167
1023,50.9167,137.7917
1024,50.9167,124.9167
1025,50.9167,110.3333
1026,50.9167,111.9167
1027,50.9167,177.8333
1028,50.9167,165
1029,50.9167,171.4167
1030,-0.4333,126.0833
1032,50.9167,100.3333
1033,50.9167,91.5
1034,50.9167,95.9167
1035,50.9167,87.5
1036,156.25,108
1037,50.9167,84.5
1038,50.9167,81.5
1039,50.9167,78.5
1040,50.9167,63.5
1041,50.9167,69.5
1042,50.9167,60.5
1043,50.9167,56.5
1044,50.9167,53.5
1045,50.9167,50
1046,50.9167,74
1047,146.9444,108
1048,150.0556,108
1049,46.9167,177.8333
1050,46.9167,183.5833
1051,46.9167,189.3333
1052,46.9167,195.0833
1053,0,166.0833
1054,0,171.9583
1055,0,177.8333
1056,0,159.3333
1057,0,155.1667
1058,0,151.1667
1059,0,148.0833
1060,0,141.3333
1061,0,133.6667
1062,0,100.3333
1063,0,107.4167
1064,0,81.5
1065,0,87.5
1066,0,120.9167
1067,0,127.2917
1068,0,114.1667
1069,0,93.9167
1070,0,76.8333
1071,0,69.5
1072,0,66.0833
1073,0,59.0833
1074,0,56.5
1075,0,50
1076,0,23.0833
1078,0,40.75
1083,156.25,110.8333
1085,30.9444,23.0833
1086,36.8889,23.0833
1087,42.8333,23.0833
1089,156.25,115.3333
1090,42.8333,52
1091,42.8333,57
1092,42.8333,62
1093,42.8333,66.8333
1094,42.8333,69.0033
1095,42.8333,76.8333
1096,42.8333,81.5
1097,42.8333,28.8333
1098,42.8333,34.5833
1099,42.8333,42
1100,42.8333,47
1101,42.8333,87.5
1102,42.8333,91.5
1103,42.8333,95.9167
1104,42.8333,100.3333
1105,156.25,119.3333
1106,156.25,123.6667
1107,156.25,128.6667
1108,156.25,133.6667
1109,147.9723,133.6667
1110,152.1111,133.6667
1111,42.8333,72.9183
1112,0,192.0833
1113,0,195.0833
1114,0,186.0833
1115,0,180.3333
1116,5.6042,195.0833
1117,22.4167,195.0833
1118,27.6667,195.0833
1119,34.0833,195.0833
1120,40.5,195.0833
1121,1.3333,41.25
1122,206.75,210.9166
1124,341.75,210.9167
1125,341.75,209.4167
1126,199.75,88.5
1127,341.75,132.9167
1128,1.3333,126.0833
1129,341.75,134.4167
1130,0.4333,126.0833
1133,193.75,94.5
1135,248.1667,134.4167
1136,0.4333,41.25
1138,248.1667,114.5833
1140,172.5833,-3
1145,255.8333,119.4167
1146,254.3333,119.4167
1147,160.25,3
1148,178.5833,3
1149,160.25,-3
1150,255.8333,90.75
1151,254.3333,90.75
1152,119.25,36.875
1155,154.25,3
1156,178.5833,-3
1157,199.8333,64.3958
1158,193.6667,58.2292
1159,199.8333,58.2292
1160,193.6667,64.3958
1161,0,61.0833
1163,0,47.75
1165,172.5833,3
1166,172.1667,137.6667
1167,193.6667,43.1876
1168,199.8333,49.3542
1169,199.8333,43.1876
1170,193.6667,49.3542
1175,164.1667,129.6667
1176,172.1667,129.6667
1177,164.1667,137.6667
1178,107.4166,35.375
1179,199.8333,34.3124
1180,193.6667,28.1458
1181,199.8333,28.1458
1182,193.6667,34.3124
1187,46.7501,106.1667
1188,55.0833,114.4999
1189,193.6667,13.1042
1190,199.8333,19.2708
1194,195.5834,19.2708
1196,197.9166,19.2708
1198,199.5,2.75
1199,194,-2.75
1207,142.1666,132
1208,142.1666,135.3334
1209,157.9167,135.3334
1210,157.9167,132
1211,157.9167,106.3333
1212,154.5833,106.3333
1213,154.5833,135.3334
1214,-1.3333,193.9583
1215,142.1667,106.6667
1217,145.5,106.6667
1218,145.5,109.3333
1219,-0.4333,193.9583
1220,154.5833,109.3333
1221,154.5833,106.6666
1223,157.9167,106.6666
1224,145.4999,135.3334
1225,1.3333,193.3333
1226,0.4333,193.3333
1229,-1.3333,40.9167
1230,-0.4333,40.9167
1232,145.3333,106.6667
1233,142.3333,106.6667
1234,197.9167,7.9271
1235,195.5834,7.9271
1236,142.3333,87.3333
1237,145.3333,87.3333
1239,196.75,13.1042
1240,154.8333,87.3333
1241,151.5,87.3333
1243,48.6667,103.2499
1244,154.8333,106.6666
1245,151.5,106.6666
1247,196.75,2.75
1248,53.1667,103.2499
1253,122.1667,93.1667
1254,53.1667,171.4167
1255,51.4327,171.4167
1256,53.1667,183.5
1260,122.25,13.25
1261,119.25,13.25
1263,119.25,50
1264,51.3494,183.5
1266,242.6667,149.3333
1267,193.6667,13.25
1268,193.6667,14.75
1269,245.5507,149.3333
1270,250.1667,149.3333
1271,247.2827,149.3333
1272,246.4167,153.0833
1273,246.4167,150.1993
1274,246.4167,145.5833
1276,246.4167,148.4673
1277,176.5833,9.5
1278,176.5833,7.8333
1279,244.6667,124.5
1280,156.25,9.5
1281,156.25,7.8333
1282,245.984,124.5
1286,119.25,35.375
1287,107.4166,36.875
1290,195.0313,73.2917
1291,195.0313,76.8333
1292,198.4687,73.2917
1294,106.4167,13.25
1296,107.4167,13.25
1298,198.4687,76.8333
1299,106.4166,50.75
1300,107.4166,50.75
1304,14.0833,40.0833
1305,198.4687,19.2708
1306,143.8333,18
1308,198.4687,13.1042
1309,199.8333,16.1875
1310,197.0993,16.1875
1311,48.6667,183.6666
1312,12.5833,23.75
1313,14.0833,23.75
1314,12.5833,40.0833
1316,50.484,183.6666
1317,13.3333,40.0833
1319,122.1667,72.0729
1320,139.8333,18
1321,13.3333,26.6666
1322,147.8333,10
1323,139.8333,10
1324,147.8333,18
1325,121.0994,72.0729
1328,172.1666,18
1330,164.1666,10
1331,172.1666,10
1332,164.1666,18
1333,119.3334,72.0729
1334,48.6667,171.25
1335,-1.3333,189.0833
1336,1.3333,189.0833
1337,-1.3333,62.5834
1338,139.8333,14.75
1339,147.8333,14.75
1340,164.1666,14.75
1341,172.1666,14.75
1342,139.8333,13.25
1343,147.8333,13.25
1344,164.1666,13.25
1345,172.1666,13.25
1349,1.3333,62.5834
1351,120.4007,72.0729
1352,50.1667,90.75
1355,50.4007,171.25
1362,138.375,89.8333
1363,138.375,93.1667
1364,143.4792,91.5
1365,42.8333,23.4375
1368,45.5833,181.3333
1369,38.5833,174.3333
1370,45.5833,174.3333
1371,38.5833,181.3333
1372,38.5833,157.6667
1373,45.5833,164.6667
1374,45.5833,157.6667
1375,38.5833,164.6667
1376,81.6666,212.25
1377,77.5,208.0834
1378,148.5833,87.3333
1379,48.6667,138.2499
1380,98,208.0834
1381,126.6667,208.0834
1382,102.1666,212.25
1383,130.8333,212.25
1384,148.5833,88.8173
1385,122.25,27
1386,119.25,27
1388,158.3333,212.25
1389,182.4166,212.25
1390,154.1667,208.0834
1391,178.25,208.0834
1392,53.1667,138.2499
1393,50.4007,138.2499
1395,51.4327,138.2499
1396,50.9167,110.3165
1398,83.3333,192.0833
1399,103.8333,192.0833
1400,75.8333,184.5833
1401,96.3333,184.5833
1402,83.3333,184.5833
1403,75.8333,192.0833
1404,103.8333,184.5833
1405,96.3333,192.0833
1406,124.75,184.3333
1407,132.75,192.3333
1408,132.75,184.3333
1409,124.75,192.3333
1410,152.3333,184.4166
1411,176.4166,184.4166
1412,203.5833,184.4166
1413,160.1667,192.25
1414,184.25,192.25
1415,211.4167,192.25
1416,160.1667,184.4166
1417,152.3333,192.25
1418,53.1667,163.5
1419,48.6667,163.5
1420,46.7501,110.3333
1421,50.4006,110.3333
1422,184.25,184.4166
1423,176.4166,192.25
1424,211.4167,184.4166
1425,203.5833,192.25
1427,171.9167,114.0833
1428,250.1667,153.0833
1429,236.0833,192.0833
1430,164.4167,106.5833
1431,242.6667,145.5833
1432,228.5833,184.5833
1433,171.9167,106.5833
1434,164.4167,114.0833
1435,236.0833,184.5833
1436,228.5833,192.0833
1437,250.1667,145.5833
1438,242.6667,153.0833
1439,164.1667,87.5
1440,192.75,106.3333
1441,216.75,106.3333
1442,172.1667,95.5
1443,200.75,114.3333
1444,224.75,114.3333
1445,172.1667,87.5
1446,164.1667,95.5
1447,200.75,106.3333
1448,192.75,114.3333
1449,224.75,106.3333
1450,216.75,114.3333
1451,249.75,168.3333
1452,249.75,191.6666
1453,249.75,113.6666
1454,243.0834,161.6667
1455,243.0834,185
1456,243.0834,107
1459,249.75,161.6667
1460,243.0834,168.3333
1461,249.75,185
1462,243.0834,191.6666
1463,124.0834,105.6667
1464,74.9167,105.6667
1465,133.4166,114.9999
1466,84.2499,114.9999
1467,84.2499,105.6667
1468,74.9167,114.9999
1469,133.4166,105.6667
1470,124.0834,114.9999
1480,55.0833,110.3333
1481,51.4328,110.3333
1483,148.5,91
1484,48.573,114.4999
1485,148.5,89.516
1486,119.25,31.1354
1489,145.5,120.8334
1490,144.1827,120.8334
1491,48.573,110.3332
1493,53.2604,114.4999
1494,53.2604,110.3332
1498,145.3333,98.5834
1499,144.1827,98.5834
1500,164.4167,110.3333
1501,167.3007,110.3333
1502,248.1667,124.5
1503,246.8494,124.5
1504,171.9167,110.3333
1505,169.0327,110.3333
1506,196.75,94.5
1507,196.75,91.8493
1508,168.1667,114.0833
1509,122.1666,51.5
1510,196.75,91.1507
1511,196.734,91.5
1512,168.1667,111.1993
1513,168.1667,106.5833
1514,199.75,93.1771
1515,196.75,93.1771
1516,199.75,89.8229
1517,196.75,89.8229
1518,119.3333,51.5
1519,168.1667,109.4673
1521,50.9167,106.1665
1522,196.75,76.8493
1524,193.6667,76.375
1525,196.4007,76.375
1526,199.8333,76.375
1527,197.0993,76.375
1536,195.5834,68.8437
1537,196.4007,68.8437
1538,195.5834,83.9791
1539,197.9167,83.9791
1540,196.75,79.4583
1551,197.9166,68.8437
1553,197.0993,68.8437
1558,193.6667,61.3125
1559,196.4007,61.3125
1560,199.8333,61.3125
1561,197.0993,61.3125
1562,195.0313,64.3958
1563,195.0313,58.2291
1564,198.4687,64.3958
1565,198.4687,58.2291
1566,195.5834,53.7917
1567,196.4007,53.7917
1568,197.9166,53.7917
1571,197.0993,53.7917
1572,193.6667,46.2709
1573,196.4007,46.2709
1574,199.8333,46.2709
1575,197.0993,46.2709
1579,195.0313,49.3542
1580,195.0313,43.1875
1581,198.4687,49.3542
1582,198.4687,43.1875
1583,195.5834,38.75
1584,196.4007,38.75
1585,197.9166,38.75
1586,197.0993,38.75
1592,193.6667,31.2291
1593,196.4007,31.2291
1594,199.8333,31.2291
1595,197.0993,31.2291
1596,195.0313,34.3124
1597,195.0313,28.1458
1598,198.4687,34.3124
1599,198.4687,28.1458
1600,195.5834,23.7083
1601,196.4007,23.7083
1602,197.9166,23.7083
1603,197.0993,23.7083
1604,47.5834,178.5
1605,48.6667,177.1667
1611,48.6667,178.5
1612,51.6667,218.4167
1613,206.75,218.4167
1614,208.25,210.9166
1615,340.25,209.4167
1616,340.25,134.4167
1617,248.1667,132.9167
1618,248.1667,116.0833
1619,254.3333,114.5833
1620,254.3333,116.0833
1621,254.3333,92.25
1622,158.25,7.8333
1623,156.25,3
1624,158.25,3
1625,174.5833,7.8333
1626,174.5833,3
1627,176.5833,3
1628,122.25,14.75
1629,119.25,14.75
1630,107.4167,14.75
1635,119.25,49.25
1636,119.25,50.75
1637,107.4166,49.25
1640,20,23.75
1641,145.3333,91
1642,151.5,91
1643,145.4999,132
1644,154.5833,132
1645,20,22.75
1647,15,23.75
1648,15,22.75
1649,1.3333,23.75
1652,34.0833,22.75
1653,34.0833,23.0833
1654,25,22.75
1655,34.0833,23.75
1656,25,23.75
1657,0.4444,47.75
1658,-0.4444,40.75
1665,-0.4444,47.75
1666,0.4444,59.0833
1667,-0.4444,59.0833
1668,-0.4444,22.75
1669,0.4444,22.75
1670,0.4444,40.75
1673,1.3333,194.3333
1674,22.4167,194.3333
1675,22.4167,195.8333
1676,27.6667,194.3333
1677,27.6667,195.8333
1678,46.25,194.3333
1679,51.6667,81.5
1681,51.6667,78.5
1682,50.1666,50
1683,51.6666,50
1684,50.1667,78.5
1685,50.1667,81.5
1686,51.6667,90.75
1687,193.6667,16.8542
1691,42.5,23.0833
1692,43.1666,62
1693,42.5,62
1694,43.1666,69.0033
1695,42.5,69.0033
1696,43.1666,100.3333
1697,74.9167,90.75
1699,74.9167,92.25
1700,50.1667,92.25
1706,78.9167,90.75
1707,114.9167,90.75
1708,114.9167,92.25
1709,78.9167,92.25
1710,118.4167,90.75
1711,118.4167,92.25
1712,119.3334,90.75
1713,119.3334,92.25
1715,122.25,22
1716,119.25,22
1717,122.25,25.5
1718,119.25,25.5
1796,196.4007,16.8542
1824,195.0313,19.2708
1829,195.0313,14.4375
1832,194,0
1833,195.759,0
1842,199.5,0
1843,197.741,0
1845,196.75,-2.75
1846,196.75,-0.991
1847,196.75,0.991
1852,172.1666,16.2188
1853,164.1666,16.2188
1854,172.1666,11.7813
1855,164.1666,11.7813
1856,168.1666,18
1857,168.1666,14.4327
1858,168.1666,10
1859,168.1666,13.5673
1862,143.8333,14.4327
1863,143.8333,10
1864,143.8333,13.5676
1865,147.8333,14
1866,144.016,14
1869,139.8333,16.2188
1870,147.8333,16.2188
1875,139.8333,11.7813
1876,147.8333,11.7813
1881,38.625,69
1882,38.625,62
1883,34.0833,65.5
1884,43.1666,65.5
1888,122.25,19.9583
1889,119.25,19.9583
1890,121.0993,19.9583
1891,120.4007,19.9583
1897,120.4007,31.1354
1898,122.25,31.1354
1899,121.0993,31.1354
1901,119.25,41.8854
1903,120.4007,41.8854
1904,122.25,41.8854
1905,121.0993,41.8854
1917,127.1667,89.8333
1918,127.1667,91.1506
1922,126.2917,93.1667
1923,126.2917,91.8494
1938,154.8334,97.5
1939,153.5161,97.5
1942,151.5,98.5833
1943,152.8173,98.5833
1949,148.5,106.6667
1950,148.5,107.6507
1951,150.0417,109.3333
1952,150.0417,108.3493
1955,155.7083,106.6666
1956,155.7083,107.6506
1960,157.9167,121
1961,156.5994,121
1962,154.5833,120.8334
1963,155.9006,120.8334
1964,150.0416,135.3334
1965,150.0416,134.0161
1969,150.0416,132
1970,150.0416,133.3173
1974,142.1666,121
1975,143.4839,121
1981,142.3333,97
1982,143.484,97
1991,38.2812,62
1992,38.2812,23.4375
1993,34.0833,42.7187
1994,42.4791,42.7187
2000,34.0833,84.6666
2001,42.4791,84.6666
2002,38.2812,100.3333
2003,38.2812,69
2004,38.5833,177.8333
2005,41.3173,177.8333
2006,45.5833,177.8333
2007,42.8493,177.8333
2008,38.5833,161.1667
2009,41.3173,161.1667
2010,45.5833,161.1667
2011,42.8493,161.1667
2012,42.0833,181.3333
2013,42.0833,178.5993
2014,42.0833,174.3333
2015,42.0833,177.0673
2016,42.0833,164.6667
2017,42.0833,161.9327
2018,42.0833,157.6667
2019,42.0833,160.4007
2020,79.5833,192.0833
2021,79.5833,189.1993
2022,79.5833,184.5833
2023,79.5833,187.4673
2024,100.0833,192.0833
2025,100.0833,189.1993
2026,100.0833,184.5833
2027,100.0833,187.4673
2028,75.8333,188.3333
2029,78.7173,188.3333
2030,83.3333,188.3333
2031,80.4493,188.3333
2032,96.3333,188.3333
2033,99.2173,188.3333
2034,103.8333,188.3333
2035,100.9493,188.3333
2036,128.75,192.3333
2037,128.75,189.1993
2038,128.75,184.3333
2039,128.75,187.4673
2040,124.75,188.3333
2041,127.884,188.3333
2042,132.75,188.3333
2043,129.616,188.3333
2044,164.1667,133.6667
2045,167.3007,133.6667
2046,172.1667,133.6667
2047,169.0327,133.6667
2048,192.75,110.3333
2049,195.884,110.3333
2050,200.75,110.3333
2051,197.616,110.3333
2052,164.1667,91.5
2053,167.3007,91.5
2054,172.1667,91.5
2055,169.0327,91.5
2056,216.75,110.3333
2057,219.884,110.3333
2058,224.75,110.3333
2059,221.616,110.3333
2060,168.1667,87.5
2061,168.1667,90.634
2062,168.1667,95.5
2063,168.1667,92.366
2064,168.1667,137.6667
2065,168.1667,134.4327
2066,168.1667,129.6667
2067,168.1667,132.9007
2068,196.75,114.3333
2069,196.75,111.1993
2070,196.75,106.3333
2071,196.75,109.4673
2072,220.75,114.3333
2073,220.75,111.1993
2074,220.75,106.3333
2075,220.75,109.4673
2076,232.3333,192.0833
2077,232.3333,189.1993
2078,232.3333,184.5833
2079,232.3333,187.4673
2100,228.5833,188.3333
2101,231.4673,188.3333
2102,236.0833,188.3333
2103,233.1993,188.3333
2104,152.3333,188.3333
2105,155.384,188.3333
2106,160.1667,188.3333
2107,157.116,188.3333
2108,176.4166,188.3333
2109,179.4673,188.3333
2110,184.25,188.3333
2111,181.1993,188.3333
2112,203.5833,188.3333
2113,206.634,188.3333
2114,211.4167,188.3333
2115,208.366,188.3333
2116,207.5,192.25
2117,207.5,189.1993
2118,207.5,184.4166
2119,207.5,187.4673
2120,180.3333,192.25
2121,180.3333,189.1993
2122,180.3333,184.4166
2123,180.3333,187.4673
2124,156.25,192.25
2125,156.25,189.1833
2126,156.25,184.4166
2127,156.25,187.4673
2128,246.4167,191.6666
2129,246.4167,189.1993
2130,246.4167,185
2131,246.4167,187.4673
2132,246.4167,168.3333
2133,246.4167,165.5993
2134,246.4167,161.6667
2135,246.4167,164.4007
2136,246.4167,113.6666
2137,246.4167,111.1993
2138,246.4167,107
2139,246.4167,109.4673
2140,243.0834,188.3333
2141,245.5507,188.3333
2144,249.75,188.3333
2145,247.2827,188.3333
2146,243.0834,165
2147,245.5257,165
2148,249.75,165
2149,247.3077,165
2150,243.0834,110.3333
2151,245.5507,110.3333
2152,249.75,110.3333
2153,247.2827,110.3333
2154,74.9167,110.3333
2155,78.4673,110.3333
2156,84.2499,110.3333
2157,80.6993,110.3333
2158,124.0834,110.3333
2159,127.634,110.3333
2160,133.4166,110.3333
2161,129.866,110.3333
2162,128.75,114.9999
2163,128.75,111.1999
2164,128.75,105.6667
2165,128.75,109.4667
2166,79.5833,114.9999
2167,79.5833,111.1999
2168,79.5833,105.6667
2169,79.5833,109.4667
2170,120.75,2.75
2171,120.75,0.991
2172,120.75,-2.75
2173,120.75,-0.991
2178,118,0
2179,119.759,0
2180,123.5,0
2181,121.741,0
2182,139.4167,0
2183,141.5257,0
2184,145.4167,0
2185,143.3077,0
2186,142.4167,3
2187,142.4167,0.6333
2188,142.4167,-3
2189,142.4167,-0.6333
2190,157.25,-3
2191,157.25,-0.016
2192,154.25,0
2193,156.9007,0
2194,160.25,0
2195,157.5993,0
2200,155.5729,3
2201,155.5729,0
2202,158.9271,3
2203,158.9271,0
2206,173.7812,3
2207,173.7812,0
2208,177.3854,3
2209,177.3854,0
2210,175.5833,-3
2211,175.5833,-0.016
2212,172.5833,0
2213,174.984,0
2214,178.5833,0
2215,176.1826,0
2953,50.9167,155.1667
2954,50.9167,109.8333
2955,120.75,82.8333
2957,111.0833,36.125
2958,111.0833,50
3084,196.75,78.5
3211,196.75,81.3333
6446,205.5,219.1667
7014,50.9167,184.3333
7036,30.9167,27.5833
7043,196.75,65.3128
7045,246.4167,130.6111
7052,250.75,115.3333
7057,250.75,133.6667
7062,246.4167,118.3889
7068,252.9167,115.3333
7074,251.2917,91.5
7075,153.1667,93.5
7078,150.8333,89.1667
7117,145.9028,133.6667
7120,154.7083,108
7168,157.25,2.25
7196,156.25,109.1667
7358,154.1805,133.6667
