ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-1790,1066,No,Base,1790,No,175.5833,219.1667,0,6a69edcd-45ef-479b-aa37-7aebb8efc100,10.77,-1.784,11.823,-0.731,11.823,-1.784
Base-1793,1067,No,Base,1793,No,180.3333,219.1667,0,b1791806-87ee-455e-ae39-93ae4b90aba1,8.678,0.02,9.718,1.061,9.718,0.02
Base-1796,1068,No,Base,1796,No,184.5,219.1667,0,40c9cdc2-cb54-4f3d-ab3a-f0bc08b39dd2,8.938,0.679,10.077,1.818,10.077,0.679
Base-1811,1069,No,Base,1811,No,207.5,219.1667,0,add2bf92-103b-4a36-8141-9d3b87507fb4,13.182,-11.61,13.351,-11.441,13.351,-11.61
Base-1816,1070,No,Base,1816,No,220.75,210.1667,0,c04c1aeb-529a-4bf0-b0f9-d0c96362190b,65.502,-7.643,73.024,-0.121,73.024,-7.643
Base-1817,1071,No,Base,1817,No,213.1667,210.1667,0,713fb623-177f-49c2-a160-733a19c43918,2.369,2.027,2.772,2.431,2.772,2.027
Base-1820,1072,No,Base,1820,No,229.5,210.1667,0,b1a8667e-8d63-482f-b322-d85408a2d941,36.584,0.878,41.303,5.597,41.303,0.878
Base-1823,1073,No,Base,1823,No,238.7083,210.1667,0,7fdf89fb-18b4-4258-a1f0-27889688d356,17.301,-2.507,19.282,-0.526,19.282,-2.507
Base-1830,1074,No,Base,1830,No,276.75,210.1667,0,c696a2e4-f4b9-4e33-a612-e7e780259c9e,55.51,-41.617,57.4,-39.726,57.4,-41.617
Base-1831,1075,No,Base,1831,No,252.0833,210.1667,0,e725c267-db97-455c-ba1b-124c8bf545ce,50.336,-36.078,52.054,-34.36,52.054,-36.078
Base-1834,1076,No,Base,1834,No,143.8333,108,0,91d29f48-b790-4b46-aa66-d0d3bcf27f16,62.702,24.06,75.627,36.985,75.627,24.06
Base-1835,1077,No,Base,1835,No,143.8333,106.3333,0,ef088a57-e5b0-4d62-9496-02565d32cc4d,149.312,-145.381,149.849,-144.845,149.849,-145.381
Base-1838,1078,No,Base,1838,No,319.5,210.1667,0,3d0219ff-a4de-4606-b57f-e48465d676b9,15.466,5.216,18.139,7.89,18.139,5.216
Base-1839,1079,No,Base,1839,No,290.9167,210.1667,0,3bad93b3-c3b5-44aa-97da-f2d1a3da9d79,61.99,-45.305,64.122,-43.173,64.122,-45.305
Base-1844,1080,No,Base,1844,No,260.3056,210.1667,0,9141c5e4-d6ac-4fde-8168-5f238a031d3d,42.505,-1.743,47.722,3.473,47.722,-1.743
Base-1845,1081,No,Base,1845,No,268.5278,210.1667,0,c3bca235-b5b8-4b70-b1f0-935ef45f06d7,25.463,17.112,30.988,22.637,30.988,17.112
Base-1855,1082,No,Base,1855,No,298.0625,210.1667,0,a866d337-b58c-4059-884b-e41d9b8623a2,58.082,-26.679,62.121,-22.639,62.121,-26.679
Base-1856,1083,No,Base,1856,No,305.2083,210.1667,0,881b0169-ab25-4639-a468-adb65bbe0bf4,25.855,2.39,29.512,6.048,29.512,2.39
Base-1857,1084,No,Base,1857,No,312.3542,210.1667,0,7282b70f-509d-41b4-989d-10916ce8a620,18.22,4.462,21.161,7.403,21.161,4.462
Base-1863,1085,No,Base,1863,No,326.6667,210.1667,0,cc341267-589b-48e5-823c-166e8c9803dd,33.46,-16.16,35.671,-13.949,35.671,-16.16
Base-1864,1086,No,Base,1864,No,333.8333,210.1667,0,ebbcf6c2-3f42-4ec5-9765-5a2b94462b18,48.783,-37.47,50.204,-36.049,50.204,-37.47
Base-1869,1087,No,Base,1869,No,207.5,210.1667,0,57b7ae30-7240-48a7-9155-b880e6d9e18a,83.478,-72.221,84.81,-70.889,84.81,-72.221
Base-1874,1088,No,Base,1874,No,207.5,214.6667,0,794f4d67-7530-47dc-81df-fecade8bfb9a,68.024,-28.476,73.447,-23.054,73.447,-28.476
Base-1875,1089,No,Base,1875,No,207.5,217.6667,0,f62f32f6-d577-4a07-904d-fcbab722c500,26.018,-30.517,25.328,-31.207,26.018,-31.207
Base-1877,1234,No,Base,1877,No,190.5,219.1667,0,9cb85514-0517-4f04-a2c2-2407d7fb6c7a,4.823,-3.445,4.892,-3.376,4.892,-3.445
Base-1882,1090,No,Base,1882,No,197.5,219.1667,0,9347fd3c-adbd-437d-8c43-0148252998c3,19.934,-14.266,20.581,-13.619,20.581,-14.266
Base-1883,1091,No,Base,1883,No,193.5,219.1667,0,efcd4811-7e06-4621-a7af-5d95795859db,8.07,-3.256,8.697,-2.629,8.697,-3.256
Base-1884,1092,No,Base,1884,No,203.5,219.1667,0,e7f29a72-812f-4170-9290-db50e2b4b964,27.184,-24.095,27.524,-23.755,27.524,-24.095
Base-1893,2971,No,Base,1893,No,22.4167,195.0833,0,9dfdaa38-18b7-47df-b05b-b695b67e4348,18.576,-13.365,19.017,-12.923,19.017,-13.365
Base-1894,1094,No,Base,1894,No,0,195.0833,0,89a593fb-3d2f-4ce9-8771-8cb6c20075cd,54.844,-20.959,59.812,-15.991,59.812,-20.959
Base-1899,1095,No,Base,1899,No,46.9167,195.0833,0,d33c79e7-ca29-4b03-8c37-ebd34de01ccc,63.25,-35.665,66.754,-32.161,66.754,-35.665
Base-1900,1096,No,Base,1900,No,27.6667,195.0833,0,9721225d-4475-4a07-88eb-eef8989c4a3d,44.061,-15.86,48.15,-11.771,48.15,-15.86
Base-1908,1097,No,Base,1908,No,5.6042,195.0833,0,951a863b-08f2-4da1-a0fe-95d8a8fc808b,41.602,-9.42,46.078,-4.943,46.078,-9.42
